"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1  BASE 979","2  BASE 961","3  BASE 962","4  BASE 967","5  BASE 9712","6  BASE 973","7  BASE 985","8  PROP ERR","9  ADD ERR","10 KOUT","11 LGK10","12 LGKZERO","13 LGEMAX","14 LGEC50","15 HVMX","16 ST979MX","17 HVKOUT","1 SD(BASE)","2 SD(KOUT)","3 SD(K10)","4 SD(KZERO)","5 SD(EMAX)","6 SD(EC50)","7 SD(EPS)","SIGMA(1,1)","se1  BASE 979","se2  BASE 961","se3  BASE 962","se4  BASE 967","se5  BASE 9712","se6  BASE 973","se7  BASE 985","se8  PROP ERR","se9  ADD ERR","se10 KOUT","se11 LGK10","se12 LGKZERO","se13 LGEMAX","se14 LGEC50","se15 HVMX","se16 ST979MX","se17 HVKOUT","se1 SD(BASE)","se2 SD(KOUT)","se3 SD(K10)","se4 SD(KZERO)","se5 SD(EMAX)","se6 SD(EC50)","se7 SD(EPS)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_eta6(%)","shrinkage_eta7(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22","EI23","EI24","EI25"
0,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2284.34,0,20543.2681810077,3.77038,5.46193,6.10642,5.33849,6.33346,2.95627,3.87502,0.118153,0,-3.77578,-4.54509,-5.4,0.311992,7.77594,0.629998,-0.614785,0.910634,0.0133225,0.566788,0,0,0.268458,0,0.102408,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,3408.09,0,20850.4902326577,3.78642,5.46384,6.09192,5.36902,6.3443,2.96688,3.8856,0.118641,0,-3.81682,-4.61507,-5.4,0.389468,7.8815,0.552515,-0.625438,0.926406,0.0125826,0.648414,0,0,0.240801,0,0.105143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,4058.09,0,20398.9949526136,3.75361,5.44247,6.14188,5.29663,6.33426,2.9774,3.84202,0.119764,0,-3.98733,-4.40635,-5.4,0.400196,7.64896,0.591629,-0.740699,1.06167,0.0133701,0.448887,0,0,0.171128,0,0.0876519,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2995.84,0,20536.9571770208,3.78483,5.45335,6.0717,5.34214,6.32778,2.95429,3.90279,0.119325,0,-3.22079,-4.63345,-5.4,0.237399,7.85304,0.845762,-0.602981,0.316842,0.0106159,0.537746,0,0,0.236464,0,0.112185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2659.48,0,19863.8111359742,3.79764,5.46855,6.107,5.33211,6.33871,2.95864,3.87765,0.116591,0,-3.72302,-4.63551,-5.4,0.362247,8.0026,0.721444,-0.630837,0.812549,0.0126162,0.519869,0,0,0.253961,0,0.0980692,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,2906.15,0,21145.4899884011,3.77031,5.45931,6.09662,5.31661,6.32382,2.94614,3.852,0.118037,0,-3.96983,-4.42484,-5.4,0.333084,7.73641,0.646591,-0.530268,1.04643,0.0123127,0.496306,0,0,0.269362,0,0.110914,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,1,0,0,0,0,3.0,NA,FOCE_I,NA,3605.15,0,20161.2388495262,3.74129,5.44676,6.05398,5.35386,6.3381,2.93944,3.86866,0.115406,0,-3.65697,-4.60447,-5.4,0.147496,7.75152,0.68536,-0.512904,0.853174,0.0138856,0.577304,0,0,0.256532,0,0.11378,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2765.77,0,20231.2915096418,3.77277,5.46158,6.11857,5.3708,6.30837,2.94983,3.85212,0.116201,0,-3.82735,-4.45504,-5.4,0.362919,7.58491,0.401878,-0.651748,0.89996,0.0157448,0.499769,0,0,0.215493,0,0.0856116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,5,0,3.2,NA,FOCE_I,NA,6140.45,0,19690.6692905869,3.7617,5.44176,6.12315,5.31453,6.31081,2.95362,3.8893,0.115427,0,-3.63656,-4.65176,-5.4,0.188685,7.82477,0.641834,-0.472012,0.911927,0.0137559,0.471714,0,0,0.189426,0,0.0769986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,1,0,3.5,NA,FOCE_I,NA,4027.94,0,21007.4434357994,3.77468,5.49985,6.04944,5.35269,6.29488,2.96569,3.8798,0.119068,0,-3.73723,-4.56307,-5.4,0.343044,7.91238,0.693733,-0.5138,0.756248,0.0128357,0.452465,0,0,0.209971,0,0.0989984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,0,1,0,0,0,0,0,0,0,0,3.8,NA,FOCE_I,NA,2586.62,0,20582.5441167004,3.77951,5.48294,6.09624,5.32887,6.32002,2.95931,3.86225,0.116585,0,-3.70708,-4.52659,-5.4,0.357062,7.81768,0.682894,-0.563014,0.766026,0.0138898,0.767081,0,0,0.311248,0,0.0950365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,2787.45,0,20417.91644707,3.75137,5.49167,6.07029,5.2924,6.32918,2.96411,3.9049,0.118773,0,-3.53191,-4.73642,-5.4,0.342249,8.1112,0.808139,-0.594232,0.786279,0.0132147,0.264307,0,0,0.240467,0,0.1421,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2412.45,0,20711.6111421836,3.77956,5.46436,6.08215,5.31852,6.33248,2.941,3.86487,0.115933,0,-3.7348,-4.56004,-5.4,0.335864,7.79459,0.524817,-0.60705,0.820851,0.0133993,0.559534,0,0,0.240765,0,0.0868403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,0,0,0,0,0,1,0,0,0,0,1.6,NA,FOCE_I,NA,3174.18,0,20175.6633652694,3.78565,5.44594,6.086,5.32783,6.36988,2.97002,3.88079,0.119862,0,-3.8016,-4.62121,-5.4,0.301127,7.88347,0.513933,-0.615817,1.1283,0.0130611,0.77327,0,0,0.310836,0,0.091546,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,3277.44,0,19779.5783974142,3.76359,5.46365,6.07884,5.39444,6.29382,2.96124,3.86443,0.118375,0,-3.84923,-4.40795,-5.4,0.252984,7.54314,0.782173,-0.481376,0.935357,0.0126361,0.58494,0,0,0.182654,0,0.0986082,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,3383.77,0,20357.319507296,3.78609,5.45582,6.15862,5.31533,6.3566,2.94618,3.88568,0.117526,0,-3.83265,-4.43768,-5.4,0.33224,7.57565,0.586771,-0.758775,0.980955,0.0130662,0.666265,0,0,0.291279,0,0.0769893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,0,0,0,0,0,1,0,0,7,0,2.6,NA,FOCE_I,NA,8984.91,0,20872.8684061331,3.78248,5.43017,6.14238,5.30254,6.31716,2.9462,3.8491,0.119588,0,-3.96381,-4.38109,-5.4,0.291389,7.51258,0.586005,-0.621214,1.005,0.0141442,0.649402,0,0,0.294295,0,0.104746,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,3351.78,0,20874.7834682411,3.7689,5.49941,6.13246,5.33388,6.34482,2.94191,3.83146,0.116754,0,-3.66555,-4.48337,-5.4,0.22758,7.62273,0.728777,-0.598232,0.693113,0.0123164,0.548733,0,0,0.326978,0,0.100423,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,0,1,0,0,0,0,0,0,3,0,3.2,NA,FOCE_I,NA,6743.5,0,19933.2834408249,3.75986,5.45335,6.10358,5.29237,6.32215,2.9372,3.8508,0.119028,0,-3.97953,-4.44111,-5.4,0.151052,7.47425,0.797801,-0.475367,0.946278,0.0150272,0.679613,0,0,0.199202,0,0.108032,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,2649.97,0,20835.0647892774,3.80409,5.44377,6.0978,5.3517,6.3499,2.95821,3.86778,0.118426,0,-3.84339,-4.54527,-5.4,0.273962,7.82608,0.735839,-0.499688,1.01848,0.0106586,0.579187,0,0,0.292103,0,0.114382,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,2492.77,0,19789.2087757095,3.77771,5.4408,6.1165,5.34075,6.32376,2.97165,3.89095,0.113726,0,-3.86214,-4.53479,-5.4,0.298037,7.60941,0.643058,-0.689729,1.026,0.0121329,0.63895,0,0,0.200879,0,0.0948108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,0,0,0,0,0,1,0,0,5,0,2.6,NA,FOCE_I,NA,8467.91,0,19649.9795074715,3.78556,5.38688,6.11165,5.33692,6.31182,2.95609,3.89521,0.114829,0,-3.59008,-4.5586,-5.4,0.2255,7.70754,0.756663,-0.531424,0.687772,0.0132083,0.53697,0,0,0.19758,0,0.0788281,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2726.39,0,20645.7887346673,3.75102,5.46162,6.09106,5.32816,6.33015,2.95784,3.86999,0.116424,0,-3.91749,-4.55226,-5.4,0.345217,7.75808,0.615895,-0.737438,1.09329,0.0118202,0.685584,0,0,0.259564,0,0.132766,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2895.7,0,20330.2507935855,3.7772,5.44513,6.10936,5.3391,6.31141,2.97684,3.90408,0.113631,0,-3.70218,-4.60391,-5.4,0.483089,8.001,0.57848,-0.676588,0.828275,0.0130247,0.547093,0,0,0.213956,0,0.112211,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,0,1,0,0,0,0,0,0,0,0,4.0,NA,FOCE_I,NA,2706.82,0,19585.9161689127,3.76738,5.42696,6.1274,5.34983,6.32824,2.94335,3.81591,0.116429,0,-3.77837,-4.43916,-5.4,0.420885,7.72153,0.40237,-0.531712,0.93268,0.0123448,0.252696,0,0,0.382516,0,0.0990736,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,2487.01,0,19941.9844589134,3.77512,5.48057,6.05511,5.38905,6.33902,2.95254,3.83898,0.114669,0,-3.94278,-4.42218,-5.4,0.367549,7.5187,0.501148,-0.653092,0.940281,0.013061,0.583075,0,0,0.229251,0,0.0882794,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2954.5,0,20346.2825401385,3.76652,5.45215,6.08909,5.31517,6.3002,2.95706,3.88176,0.116941,0,-3.92324,-4.47095,-5.4,0.259762,7.61262,0.659952,-0.590774,1.04279,0.0138277,0.471337,0,0,0.221293,0,0.0897499,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2671.38,0,21208.092283111,3.77162,5.44482,6.09171,5.3102,6.34662,2.95923,3.85447,0.117939,0,-3.74626,-4.50448,-5.4,0.206847,7.52615,0.640122,-0.710951,0.694179,0.0140372,0.667132,0,0,0.211186,0,0.118583,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,0,1,0,0,0,0,0,0,0,0,3.8,NA,FOCE_I,NA,2931.25,0,20523.1336353543,3.73583,5.48143,6.1076,5.3169,6.36424,2.94477,3.88284,0.12164,0,-3.48678,-4.65205,-5.4,0.272671,7.9083,0.828049,-0.539675,0.623285,0.0138287,0.392708,0,0,0.235318,0,0.11055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,0,1,0,0,0,0,0,0,6,0,3.2,NA,FOCE_I,NA,13368.39,0,19913.0736165608,3.77107,5.47872,6.1333,5.37659,6.3264,2.96601,3.87911,0.11638,0,-3.48116,-4.69223,-5.4,0.320661,8.00933,0.82115,-0.588059,0.64452,0.0129162,0.382393,0,0,0.323231,0,0.0809279,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,3694.63,0,20621.9337458656,3.76225,5.47005,6.13318,5.32043,6.33282,2.95101,3.83949,0.115344,0,-3.8044,-4.44856,-5.4,0.529939,7.74774,0.603042,-0.854776,0.841188,0.0148433,0.536566,0,0,0.310227,0,0.0988899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2826.81,0,20458.6806527801,3.77252,5.48824,6.08901,5.34999,6.34546,2.94749,3.86599,0.117766,0,-3.78461,-4.51426,-5.4,0.402259,7.91577,0.793985,-0.583648,0.785792,0.0136484,0.627548,0,0,0.313604,0,0.0951657,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,0,1,0,0,0,0,0,0,2,0,3.1,NA,FOCE_I,NA,4618.31,0,21181.9482737086,3.76404,5.4694,6.08827,5.34082,6.29729,2.95225,3.86961,0.124931,0,-3.76677,-4.42791,-5.4,0.263279,7.6509,0.623126,-0.466838,0.740738,0.0140384,0.777605,0,0,0.255963,0,0.0854056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,3475.69,0,20282.8909111084,3.77635,5.47446,6.15246,5.31488,6.33181,2.96195,3.90116,0.118521,0,-3.91573,-4.57923,-5.4,0.49932,7.95304,0.602233,-0.712294,1.00808,0.0138068,0.517044,0,0,0.23779,0,0.100375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,0,0,0,0,0,1,0,0,4,0,2.3,NA,FOCE_I,NA,7765.84,0,20705.2521766238,3.7872,5.46456,6.12197,5.35504,6.313,2.9498,3.88927,0.115475,0,-3.6301,-4.66558,-5.4,0.312294,8.01026,0.613653,-0.610399,0.879287,0.0109367,0.538739,0,0,0.454471,0,0.106113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,0,0,0,0,0,1,0,0,1,0,2.9,NA,FOCE_I,NA,3264.58,0,20915.8780408464,3.7429,5.43447,6.05122,5.32159,6.349,2.94272,3.87737,0.122343,0,-3.58751,-4.59882,-5.4,0.339852,7.85581,0.543705,-0.569971,0.96177,0.0136157,0.295115,0,0,0.299193,0,0.0927468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,3829.75,0,20487.0180710791,3.76416,5.4595,6.06283,5.44154,6.30949,2.93868,3.89728,0.121581,0,-3.28653,-4.6028,-5.4,0.385116,7.85922,0.544023,-0.66189,0.459559,0.0126372,0.412721,0,0,0.321482,0,0.101207,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,NA,3583.73,0,20719.3881914595,3.79637,5.46904,6.12262,5.36344,6.34254,2.96782,3.88947,0.117799,0,-3.70635,-4.5964,-5.4,0.325593,7.82227,0.712679,-0.625337,0.734444,0.0129972,0.594068,0,0,0.220688,0,0.128476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
