"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1  BASE 979","2  BASE 961","3  BASE 962","4  BASE 967","5  BASE 9712","6  BASE 973","7  BASE 985","8  PROP ERR","9  ADD ERR","10 KOUT","11 LGK10","12 LGKZERO","13 LGEMAX","14 LGEC50","15 HVMX","16 ST979MX","17 HVKOUT","1 SD(BASE)","2 SD(KOUT)","3 SD(K10)","4 SD(KZERO)","5 SD(EMAX)","6 SD(EC50)","7 SD(EPS)","SIGMA(1,1)","se1  BASE 979","se2  BASE 961","se3  BASE 962","se4  BASE 967","se5  BASE 9712","se6  BASE 973","se7  BASE 985","se8  PROP ERR","se9  ADD ERR","se10 KOUT","se11 LGK10","se12 LGKZERO","se13 LGEMAX","se14 LGEC50","se15 HVMX","se16 ST979MX","se17 HVKOUT","se1 SD(BASE)","se2 SD(KOUT)","se3 SD(K10)","se4 SD(KZERO)","se5 SD(EMAX)","se6 SD(EC50)","se7 SD(EPS)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_eta6(%)","shrinkage_eta7(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22","EI23","EI24","EI25"
275,1,1,0,1,0,0,0,0,0,0,1,0,3.5,NA,FOCE_I,NA,3484.17,0,20033.3733438235,3.76801,5.49176,6.10862,5.31254,6.31382,2.97446,3.91612,0.115517,0,-3.78033,-4.62373,-5.4,0.295286,7.86552,0.715678,-0.604092,0.88705,0.0146485,0.515848,0,0,0.217788,0,0.114764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,1,1,0,0,0,0,0,1,0,0,1,0,2.7,NA,FOCE_I,NA,4391.49,0,20349.7362227414,3.75878,5.47456,6.1057,5.32813,6.34509,2.94924,3.87848,0.118152,0,-3.68507,-4.56536,-5.4,0.343704,7.73429,0.488901,-0.683886,0.817582,0.017257,0.65129,0,0,0.271966,0,0.0907239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,2653.1,0,19747.6308109884,3.76623,5.39667,6.17571,5.29792,6.35438,2.96377,3.89696,0.117265,0,-3.70243,-4.54998,-5.4,0.199254,7.60117,0.670887,-0.575142,0.928501,0.0133277,0.537888,0,0,0.220106,0,0.104541,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,2696.21,0,20545.589565435,3.77604,5.50098,6.07469,5.36222,6.33009,2.96016,3.90913,0.120326,0,-3.76114,-4.66937,-5.4,0.183067,7.80421,0.769649,-0.628633,0.956326,0.0122703,0.64149,0,0,0.221945,0,0.136072,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,1,1,0,1,0,0,0,0,0,0,0,0,3.8,NA,FOCE_I,NA,2501.48,0,20758.2670519474,3.77719,5.45145,6.10767,5.3522,6.32857,2.95664,3.8744,0.120071,0,-3.85618,-4.5585,-5.4,0.330627,7.76419,0.672807,-0.631642,1.0389,0.0117962,0.561964,0,0,0.238182,0,0.113197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,4425,0,20251.2023987313,3.77506,5.48841,6.0824,5.30063,6.33573,2.94684,3.89311,0.116318,0,-3.65025,-4.59783,-5.4,0.370346,7.89687,0.642921,-0.586369,0.773509,0.0115837,0.369568,0,0,0.220228,0,0.0821271,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,2404.82,0,20702.2708255335,3.76702,5.46013,6.08905,5.30435,6.35409,2.97286,3.8653,0.119067,0,-3.95122,-4.49503,-5.4,0.513088,7.93183,0.524398,-0.672697,1.05536,0.0138072,0.667285,0,0,0.273463,0,0.0812451,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,2576.14,0,21058.918509286,3.7555,5.44925,6.12089,5.37006,6.3457,2.95975,3.88454,0.119578,0,-3.80545,-4.50358,-5.4,0.301816,7.70189,0.608085,-0.67043,0.90742,0.0110133,0.623912,0,0,0.217269,0,0.124888,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,3073.14,0,20292.8429958033,3.77127,5.48879,6.07987,5.37048,6.32968,2.94823,3.8601,0.118844,0,-3.7222,-4.57887,-5.4,0.452235,7.99961,0.586478,-0.669698,0.951156,0.0118483,0.297082,0,0,0.382078,0,0.102649,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,2327.69,0,19727.5676459746,3.77674,5.43333,6.11356,5.36603,6.33835,2.93679,3.89118,0.11716,0,-3.97237,-4.44605,-5.4,0.104035,7.47268,0.69678,-0.492024,1.06678,0.0121766,0.695942,0,0,0.267021,0,0.105439,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
